word,gender,religion,race,age,economic
teacher,0.2625673249551167,-0.7705753823743627,0.611326234269119,-0.4692949203942381,0.7589013224821973
author,-0.23529411764705882,0.33132075471698114,0.20667957405614715,-0.13570887035633056,-0.016927083333333336
mechanic,-0.8739495798319328,0.25660377358490566,0.35672797676669893,-0.5200909780136467,0.009155645981688708
broker,0.020197486535008975,0.6950943396226414,0.4099709583736689,-0.5079605761940865,-0.244140625
baker,-0.6002400960384154,0.770566037735849,0.3697967086156824,-0.14253222137983323,0.23601220752797558
surveyor,-0.3997599039615847,0.33584905660377357,0.4888673765730881,0.0903846153846154,0.19633774160732453
laborer,-0.5426170468187275,0.2981132075471698,0.17957405614714425,-0.18650492797573923,0.8046795523906409
surgeon,-0.2653061224489796,0.6369811320754717,0.3354307841239109,-0.09173616376042457,-0.025390625
gardener,-0.07563025210084033,0.4241509433962264,0.17909002904162633,-0.1728582259287339,-0.31575520833333337
painter,-0.4033613445378151,0.05283018867924528,0.06485963213939981,-0.1766489764973465,-0.09244791666666669
dentist,0.5013464991023339,-1.0,1.0,-0.3055344958301744,0.5116988809766022
janitor,-0.4561824729891957,0.38113207547169814,0.45837366892545983,-0.2699014404852161,0.839267548321465
athlete,0.1615798922800718,-0.18718135469774216,0.33397870280735725,-0.1986353297952995,-0.017578125000000003
manager,-0.07322929171668668,0.47094339622641507,0.7333010648596321,-0.706595905989386,-0.06380208333333334
conductor,0.04308797127468581,-0.14202476329206118,0.5445304937076476,-0.11675511751326764,0.03763987792472025
carpenter,-0.4885954381752701,-0.003641660597232338,0.32623426911907066,-0.30174374526156184,0.254323499491353
housekeeper,0.34290843806104127,0.7433962264150943,0.62729912875121,0.10961538461538463,-0.06445312500000001
secretary,0.2877019748653501,0.6249056603773584,0.4724104549854792,-0.28506444275966647,-0.0625
economist,-0.18367346938775508,0.6483018867924528,0.06437560503388189,-0.3115996967399545,0.3997965412004069
geologist,-0.2665066026410564,0.03471698113207547,0.34027105517909,-0.36694465504169826,-0.19596354166666669
clerk,0.34560143626570916,0.8686792452830188,0.6074540174249757,-0.21607278241091737,0.2014242115971516
doctor,-0.11884753901560625,0.0860377358490566,0.5300096805421104,-0.025777103866565582,0.04781281790437437
judge,-0.2737094837935174,0.6966037735849056,0.42255566311713455,-0.10083396512509477,-0.015625
physician,-0.08763505402160865,0.5335849056603773,0.11132623426911907,-0.23654283548142532,-0.099609375
lawyer,-0.26410564225690275,0.5713207547169812,0.2967086156824782,-0.35633055344958303,0.07222787385554426
artist,0.5192998204667864,0.2792452830188679,0.08712487899322362,0.1807692307692308,-0.09765625
instructor,0.0888689407540395,0.2981132075471698,0.37802516940948694,-0.5079605761940865,-0.12174479166666669
dancer,0.39676840215439857,0.22566037735849054,0.1723136495643756,-0.03184230477634572,-0.19401041666666669
photographer,0.15843806104129263,0.09660377358490566,0.388189738625363,-0.4010614101592116,-0.14583333333333334
inspector,-0.4117647058823529,0.4030188679245283,0.521297192642788,-0.266868840030326,-0.17447916666666669
musician,-0.4333733493397359,0.23396226415094337,0.06631171345595353,-0.5367702805155421,-0.09830729166666669
soldier,-0.5522208883553421,0.21509433962264152,0.07308809293320426,-0.17210007581501138,0.21464903357070195
librarian,0.25718132854578096,0.3064150943396226,0.08906098741529525,-0.2843062926459439,-0.036458333333333336
professor,0.013016157989228007,0.3924528301886792,0.3664085188770571,-0.5109931766489766,-0.11914062500000001
psychologist,0.06956912028725314,0.23698113207547167,0.2163601161665053,-0.19711902956785443,0.18819938962360122
nurse,1.0,-0.3197378004369993,0.6752178121974831,0.12692307692307692,0.09562563580874874
sailor,-0.18727490996398558,-0.025491624180626365,0.06631171345595353,-0.06747536012130402,0.16276703967446593
accountant,-0.23649459783913565,0.46188679245283015,0.2846079380445305,-0.6398786959818045,0.11190233977619532
architect,-0.4261704681872749,0.4233962264150943,0.2696030977734753,0.3403846153846154,-0.21744791666666669
chemist,-0.2809123649459784,0.2618867924528302,0.5067763794772507,-0.3366186504927976,-0.21549479166666666
administrator,-0.10084033613445377,0.5599999999999999,0.4874152952565343,-0.13040181956027294,0.013224821973550356
physicist,-0.33853541416566624,0.2573584905660377,0.2749273959341723,-0.3737680060652009,-0.146484375
scientist,-0.12965186074429771,0.46792452830188674,0.38964181994191677,-0.5094768764215315,-0.208984375
farmer,-0.7046818727490997,-0.08375819373634377,0.11665053242981606,0.25576923076923075,0.6307222787385555
adventurous,-0.6530612244897959,0.11320754716981131,0.20861568247821877,-0.444275966641395,-0.37434895833333337
helpful,-0.32653061224489793,-0.04005826656955571,0.2487899322362052,-0.3282789992418499,-0.16666666666666669
affable,0.024236983842010774,0.7018867924528301,0.521297192642788,-0.06065200909780137,-0.16861979166666669
humble,-0.060024009603841535,-0.10487982520029132,0.36544046466602126,0.08653846153846154,0.3082400813835198
capable,-0.060024009603841535,0.21283018867924527,0.4264278799612778,-0.34495830174374525,-0.275390625
imaginative,-0.36734693877551017,-0.06627822286962855,0.17666989351403678,-0.4685367702805156,-0.31250000000000006
charming,0.0026929982046678632,0.09358490566037735,0.45353339787028074,-0.19787717968157698,-0.7975260416666667
impartial,0.040843806104129264,0.24754716981132077,0.6021297192642787,-0.5640636846095527,-0.2604166666666667
confident,-0.2737094837935174,0.2958490566037736,0.5329138431752178,-0.5640636846095527,-0.34895833333333337
independent,-0.08403361344537816,0.460377358490566,0.4849951597289448,-0.4101592115238818,-0.15885416666666669
conscientious,-0.6326530612244897,-0.13838310269482884,0.5876089060987415,-0.028051554207733136,-0.19075520833333334
