word,gender,religion,race,age,economic
teacher,0.8214285714285714,-0.9347826086956522,0.8757763975155279,-0.8129496402877698,0.9411764705882353
author,-0.2897196261682243,0.5384615384615384,0.18012422360248448,-0.15827338129496402,-0.044642857142857144
mechanic,-0.9626168224299065,0.39316239316239315,0.37267080745341613,-0.8920863309352518,0.0196078431372549
broker,0.21428571428571427,0.8803418803418803,0.4968944099378882,-0.8633093525179856,-0.625
baker,-0.8785046728971962,0.9401709401709402,0.39751552795031053,-0.17985611510791366,0.49019607843137253
surveyor,-0.6074766355140186,0.5470085470085471,0.6645962732919255,0.20833333333333334,0.37254901960784315
laborer,-0.8130841121495327,0.48717948717948717,0.15527950310559005,-0.2446043165467626,0.9607843137254902
surgeon,-0.37383177570093457,0.8632478632478633,0.34782608695652173,-0.1079136690647482,-0.09821428571428571
gardener,-0.07476635514018691,0.6495726495726496,0.14906832298136646,-0.22302158273381295,-0.75
painter,-0.616822429906542,0.05128205128205128,0.024844720496894408,-0.2302158273381295,-0.23214285714285715
dentist,0.9464285714285714,-1.0,1.0,-0.5179856115107914,0.8823529411764706
janitor,-0.7102803738317757,0.5811965811965812,0.577639751552795,-0.41007194244604317,0.9803921568627451
athlete,0.7142857142857143,-0.717391304347826,0.3416149068322981,-0.2805755395683453,-0.05357142857142857
manager,-0.06542056074766354,0.7521367521367521,0.9503105590062112,-0.9856115107913669,-0.16071428571428573
conductor,0.375,-0.5652173913043478,0.7763975155279503,-0.12949640287769784,0.09803921568627451
carpenter,-0.7383177570093458,-0.021739130434782608,0.32919254658385094,-0.5107913669064749,0.5294117647058824
housekeeper,0.875,0.9230769230769231,0.8944099378881988,0.25,-0.16964285714285715
secretary,0.8392857142857143,0.8547008547008547,0.6086956521739131,-0.48201438848920863,-0.15178571428571427
economist,-0.2523364485981308,0.8717948717948718,0.018633540372670808,-0.5323741007194245,0.7843137254901961
geologist,-0.38317757009345793,0.042735042735042736,0.35403726708074534,-0.6330935251798561,-0.5178571428571429
clerk,0.8928571428571429,0.9829059829059829,0.8695652173913043,-0.3237410071942446,0.39215686274509803
doctor,-0.17757009345794392,0.10256410256410256,0.7577639751552795,-0.04316546762589928,0.13725490196078433
judge,-0.4205607476635514,0.8888888888888888,0.5341614906832298,-0.11510791366906475,-0.03571428571428571
physician,-0.12149532710280374,0.8034188034188035,0.09937888198757763,-0.3669064748201439,-0.26785714285714285
lawyer,-0.3644859813084112,0.8290598290598291,0.2795031055900621,-0.60431654676259,0.1568627450980392
artist,0.9642857142857143,0.4444444444444444,0.08074534161490683,0.4583333333333333,-0.25
instructor,0.48214285714285715,0.49572649572649574,0.4161490683229814,-0.8561151079136691,-0.36607142857142855
dancer,0.9107142857142857,0.3333333333333333,0.13664596273291926,-0.05755395683453238,-0.5089285714285714
photographer,0.6607142857142857,0.11965811965811966,0.43478260869565216,-0.697841726618705,-0.38392857142857145
inspector,-0.6355140186915887,0.6068376068376068,0.7204968944099379,-0.4028776978417266,-0.4642857142857143
musician,-0.6822429906542056,0.3504273504273504,0.037267080745341616,-0.9064748201438849,-0.25892857142857145
soldier,-0.8504672897196262,0.3076923076923077,0.062111801242236024,-0.20863309352517986,0.45098039215686275
librarian,0.8035714285714286,0.5128205128205128,0.08695652173913043,-0.4748201438848921,-0.10714285714285714
professor,0.16071428571428573,0.5897435897435898,0.391304347826087,-0.8848920863309353,-0.3482142857142857
psychologist,0.44642857142857145,0.358974358974359,0.19875776397515527,-0.2589928057553957,0.3333333333333333
nurse,1.0,-0.8043478260869565,0.937888198757764,0.375,0.19607843137254902
sailor,-0.2616822429906542,-0.17391304347826086,0.031055900621118012,-0.08633093525179857,0.27450980392156865
accountant,-0.29906542056074764,0.7350427350427351,0.2608695652173913,-0.9712230215827338,0.23529411764705882
architect,-0.6635514018691588,0.6410256410256411,0.2422360248447205,0.6666666666666666,-0.5625
chemist,-0.42990654205607476,0.41025641025641024,0.6894409937888198,-0.5755395683453237,-0.5535714285714286
administrator,-0.14953271028037382,0.8205128205128205,0.6583850931677019,-0.14388489208633093,0.0392156862745098
physicist,-0.5233644859813084,0.4017094017094017,0.2484472049689441,-0.6402877697841727,-0.39285714285714285
scientist,-0.18691588785046728,0.7435897435897436,0.4472049689440994,-0.8776978417266187,-0.5446428571428571
farmer,-0.9252336448598131,-0.45652173913043476,0.10559006211180125,0.625,0.9019607843137255
adventurous,-0.9065420560747663,0.1282051282051282,0.18633540372670807,-0.7553956834532374,-0.8214285714285714
helpful,-0.5046728971962616,-0.21739130434782608,0.22981366459627328,-0.5539568345323741,-0.4375
affable,0.23214285714285715,0.905982905982906,0.7267080745341615,-0.07194244604316546,-0.44642857142857145
humble,-0.04672897196261682,-0.4782608695652174,0.38509316770186336,0.16666666666666666,0.6078431372549019
capable,-0.056074766355140186,0.29914529914529914,0.5527950310559007,-0.5899280575539568,-0.6607142857142857
imaginative,-0.5607476635514018,-0.3695652173913043,0.14285714285714285,-0.8057553956834532,-0.7410714285714286
charming,0.05357142857142857,0.1111111111111111,0.5590062111801242,-0.2733812949640288,-0.9642857142857143
impartial,0.35714285714285715,0.37606837606837606,0.8509316770186336,-0.935251798561151,-0.6517857142857143
confident,-0.411214953271028,0.47863247863247865,0.7639751552795031,-0.9280575539568345,-0.7857142857142857
independent,-0.09345794392523364,0.7264957264957265,0.6521739130434783,-0.7194244604316546,-0.4107142857142857
conscientious,-0.897196261682243,-0.5217391304347826,0.8385093167701864,-0.050359712230215826,-0.49107142857142855
